,DATE,HUMIDITYAVE,HUMIDITYMIN,HUMIDITYMAX
0,1 January 2022,0.6306521739130434,0.51,0.74
0,2 January 2022,0.6306521739130434,0.51,0.74
0,3 January 2022,0.6676595744680851,0.51,0.83
0,4 January 2022,0.6664285714285714,0.51,0.83
0,5 January 2022,0.7031818181818178,0.54,0.88
0,6 January 2022,0.8661764705882352,0.74,0.94
0,7 January 2022,0.7755102040816325,0.62,0.94
0,8 January 2022,0.8249090909090908,0.74,0.94
0,9 January 2022,0.7961224489795918,0.46,1.0
0,10 January 2022,0.8714285714285711,0.83,0.94
0,11 January 2022,0.8099999999999995,0.66,0.94
0,12 January 2022,0.7704761904761903,0.66,0.89
0,13 January 2022,0.8400000000000004,0.74,0.94
0,14 January 2022,0.8661363636363638,0.69,1.0
0,15 January 2022,0.7512499999999995,0.54,1.0
0,16 January 2022,0.7328888888888888,0.55,0.89
0,17 January 2022,0.8381632653061221,0.69,0.94
0,18 January 2022,0.7287179487179487,0.52,0.89
0,19 January 2022,0.8829166666666662,0.74,1.0
0,20 January 2022,0.7876086956521738,0.61,0.94
0,21 January 2022,0.6004166666666667,0.5,0.69
0,22 January 2022,0.7390476190476191,0.57,0.94
0,23 January 2022,0.7370212765957446,0.61,0.88
0,24 January 2022,0.8106818181818182,0.65,0.94
0,25 January 2022,0.798367346938775,0.61,0.94
0,26 January 2022,0.6497777777777773,0.57,0.73
0,27 January 2022,0.614468085106383,0.47,0.78
0,28 January 2022,0.5776595744680848,0.42,0.69
0,29 January 2022,0.6261363636363636,0.42,0.74
0,30 January 2022,0.6906521739130432,0.48,0.83
0,31 January 2022,0.6821739130434782,0.55,0.79
0,1 February 2022,0.6591304347826086,0.32,0.89
0,2 February 2022,0.6591304347826086,0.32,0.89
0,3 February 2022,0.8895918367346936,0.74,1.0
0,4 February 2022,0.7297826086956525,0.61,0.83
0,5 February 2022,0.6991666666666668,0.5,0.88
0,6 February 2022,0.6228000000000002,0.47,0.88
0,7 February 2022,0.6145833333333334,0.44,0.83
0,8 February 2022,0.7039130434782609,0.53,0.83
0,9 February 2022,0.7825531914893611,0.57,0.94
0,10 February 2022,0.5728888888888886,0.27,0.88
0,11 February 2022,0.5617021276595744,0.27,0.94
0,12 February 2022,0.7965217391304347,0.65,0.94
0,13 February 2022,0.7271428571428571,0.5,1.0
0,14 February 2022,0.6057777777777779,0.47,0.88
0,15 February 2022,0.6249999999999999,0.45,0.83
0,16 February 2022,0.6311363636363635,0.51,0.78
0,17 February 2022,0.6411363636363636,0.42,0.83
0,18 February 2022,0.6534042553191485,0.34,0.89
0,19 February 2022,0.7937777777777775,0.58,0.94
0,20 February 2022,0.6906818181818183,0.57,0.83
0,21 February 2022,0.6452380952380952,0.48,0.83
0,22 February 2022,0.656046511627907,0.39,0.89
0,23 February 2022,0.8897826086956522,0.78,1.0
0,24 February 2022,0.9012765957446807,0.79,1.0
0,25 February 2022,0.9076,0.83,0.94
0,26 February 2022,0.9019512195121953,0.83,0.94
0,27 February 2022,0.9020408163265307,0.78,1.0
0,28 February 2022,0.8655102040816327,0.65,1.0
0,1 March 2022,0.8707843137254903,0.74,0.94
0,2 March 2022,0.8707843137254903,0.74,0.94
0,3 March 2022,0.892452830188679,0.78,0.94
0,4 March 2022,0.887608695652174,0.78,1.0
0,5 March 2022,0.9173999999999995,0.83,1.0
0,6 March 2022,0.8416326530612241,0.66,1.0
0,7 March 2022,0.9380769230769226,0.83,1.0
0,8 March 2022,0.9149999999999996,0.79,1.0
0,9 March 2022,0.9435185185185184,0.83,1.0
0,10 March 2022,0.744705882352941,0.65,0.88
0,11 March 2022,0.612790697674419,0.53,0.73
0,12 March 2022,0.6795555555555557,0.57,0.77
0,13 March 2022,0.646808510638298,0.47,0.83
0,14 March 2022,0.7886666666666665,0.64,0.88
0,15 March 2022,0.7964444444444442,0.61,0.94
0,16 March 2022,0.6556521739130435,0.44,0.94
0,17 March 2022,0.8613043478260868,0.61,1.0
0,18 March 2022,0.7757446808510637,0.58,0.94
0,19 March 2022,0.7369999999999994,0.54,0.88
0,20 March 2022,0.7652173913043478,0.6,0.94
0,21 March 2022,0.6710869565217391,0.5,0.83
0,22 March 2022,0.7244444444444443,0.61,0.83
0,23 March 2022,0.7026086956521739,0.48,0.88
