YEAR,MONTH,DAY,TOTALDEMAND_x,MAX,ACCMAX,RAIN,RAINPERIOD,SOLAR,TOTALDEMAND_y,RRP,FORECASTDEMAND,OUTPUT,QUANTITY,QUANTITYMONTHCUM,QUANTITYTOTALCUM,OUTPUTMONTHCUM,OUTPUTTOTAL
2010,1,1,7793.463681,29.6,1,0.2,1,14.6,7796.317872,20.36489362,7747.906211,1.53,1,1,20,1.53,31.86
2010,1,1,7793.463681,29.6,1,0.2,1,14.6,7796.317872,20.36489362,7747.906211,1.53,1,2,21,3.06,33.39
2010,1,2,8012.314097,29.5,1,0,1,18.4,8017.459792,20.478125,7773.818583,1.53,1,1,20,1.53,31.86
2010,1,2,8012.314097,29.5,1,0,1,18.4,8017.459792,20.478125,7773.818583,1.53,1,2,21,3.06,33.39
2010,1,3,7393.354514,21,1,15.2,1,7.3,7399.899583,20.27708333,7462.384786,1.53,1,1,20,1.53,31.86
2010,1,3,7393.354514,21,1,15.2,1,7.3,7399.899583,20.27708333,7462.384786,1.53,1,2,21,3.06,33.39
2010,1,4,8254.502222,24,1,0.2,1,14.4,8241.720208,21.49458333,8467.4114,1.53,1,1,20,1.53,31.86
2010,1,4,8254.502222,24,1,0.2,1,14.4,8241.720208,21.49458333,8467.4114,1.53,1,2,21,3.06,33.39
2010,1,5,8832.004931,30.4,1,0,1,28.1,8827.813125,23.96604167,8784.75042,1.53,1,1,20,1.53,31.86
2010,1,5,8832.004931,30.4,1,0,1,28.1,8827.813125,23.96604167,8784.75042,1.53,1,2,21,3.06,33.39
2010,1,6,9018.18184,28,1,0,1,29.5,9021.721875,24.44625,8836.695916,1.53,1,1,20,1.53,31.86
2010,1,6,9018.18184,28,1,0,1,29.5,9021.721875,24.44625,8836.695916,1.53,1,2,21,3.06,33.39
2010,1,7,8566.89941,25.1,1,0,1,13.9,8566.8475,23.28854167,8587.532061,1.53,1,1,20,1.53,31.86
2010,1,7,8566.89941,25.1,1,0,1,13.9,8566.8475,23.28854167,8587.532061,1.53,1,2,21,3.06,33.39
2010,1,8,8933.171597,27.7,1,0.4,1,23.2,8926.811042,27.55625,8791.367113,1.53,1,1,20,1.53,31.86
