Postcode,Month,Installations
2209,2007-01,0
2209,2007-02,0
2209,2007-03,0
2209,2007-04,0
2209,2007-05,0
2209,2007-06,0
2209,2007-07,0
2209,2007-08,0
2209,2007-09,0
2209,2007-10,0
2209,2007-11,0
2209,2007-12,0
2209,2008-01,0
2209,2008-02,0
2209,2008-03,0
2209,2008-04,0
2209,2008-05,0
2209,2008-06,0
2209,2008-07,0
2209,2008-08,0
2209,2008-09,0
2209,2008-10,2
2209,2008-11,0
2209,2008-12,0
2209,2009-01,0
2209,2009-02,0
2209,2009-03,0
2209,2009-04,1
2209,2009-05,0
2209,2009-06,0
2209,2009-07,0
2209,2009-08,2
2209,2009-09,4
2209,2009-10,1
2209,2009-11,3
2209,2009-12,3
2209,2010-01,1
2209,2010-02,0
2209,2010-03,3
2209,2010-04,5
2209,2010-05,12
2209,2010-06,14
2209,2010-07,9
2209,2010-08,19
2209,2010-09,16
2209,2010-10,19
2209,2010-11,17
2209,2010-12,13
2209,2011-01,13
2209,2011-02,29
2209,2011-03,16
2209,2011-04,18
2209,2011-05,24
2209,2011-06,31
2209,2011-07,2
2209,2011-08,4
2209,2011-09,3
2209,2011-10,4
2209,2011-11,3
2209,2011-12,1
2209,2012-01,2
2209,2012-02,3
2209,2012-03,7
2209,2012-04,7
2209,2012-05,22
2209,2012-06,34
2209,2012-07,2
2209,2012-08,2
2209,2012-09,3
2209,2012-10,4
2209,2012-11,4
2209,2012-12,19
2209,2013-01,1
2209,2013-02,2
2209,2013-03,5
2209,2013-04,2
2209,2013-05,1
2209,2013-06,0
2209,2013-07,3
2209,2013-08,1
2209,2013-09,2
2209,2013-10,4
2209,2013-11,2
2209,2013-12,1
2209,2014-01,0
2209,2014-02,2
2209,2014-03,0
2209,2014-04,3
2209,2014-05,2
2209,2014-06,1
2209,2014-07,4
2209,2014-08,1
2209,2014-09,1
2209,2014-10,5
2209,2014-11,8
2209,2014-12,2
2209,2015-01,2
2209,2015-02,2
2209,2015-03,3
2209,2015-04,3
2209,2015-05,3
2209,2015-06,2
2209,2015-07,0
2209,2015-08,2
2209,2015-09,2
2209,2015-10,2
2209,2015-11,0
2209,2015-12,2
2209,2016-01,0
2209,2016-02,1
2209,2016-03,2
2209,2016-04,1
2209,2016-05,3
2209,2016-06,2
2209,2016-07,0
2209,2016-08,2
2209,2016-09,0
2209,2016-10,1
2209,2016-11,4
2209,2016-12,5
2209,2017-01,9
2209,2017-02,27
2209,2017-03,13
2209,2017-04,2
2209,2017-05,1
2209,2017-06,1
2209,2017-07,1
2209,2017-08,5
2209,2017-09,1
2209,2017-10,4
