REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"2010/01/01 00:30:00",7809.31,21.5,TRADE
NSW1,"2010/01/01 01:00:00",7483.69,20.98,TRADE
NSW1,"2010/01/01 01:30:00",7117.23,20.06,TRADE
NSW1,"2010/01/01 02:00:00",6812.03,17.93,TRADE
NSW1,"2010/01/01 02:30:00",6544.33,17.43,TRADE
NSW1,"2010/01/01 03:00:00",6377.32,16.85,TRADE
NSW1,"2010/01/01 03:30:00",6282.85,15.06,TRADE
NSW1,"2010/01/01 04:00:00",6211.49,13.23,TRADE
NSW1,"2010/01/01 04:30:00",6248.31,15.09,TRADE
NSW1,"2010/01/01 05:00:00",6198.61,15.13,TRADE
NSW1,"2010/01/01 05:30:00",6237.35,11.84,TRADE
NSW1,"2010/01/01 06:00:00",6370.48,15.46,TRADE
NSW1,"2010/01/01 06:30:00",6506.42,16.8,TRADE
NSW1,"2010/01/01 07:00:00",6738.75,17.36,TRADE
NSW1,"2010/01/01 07:30:00",6980.41,18.06,TRADE
NSW1,"2010/01/01 08:00:00",7213.33,20.44,TRADE
NSW1,"2010/01/01 08:30:00",7515.6,21,TRADE
NSW1,"2010/01/01 09:00:00",7761.46,21.08,TRADE
NSW1,"2010/01/01 09:30:00",7915.54,21.14,TRADE
NSW1,"2010/01/01 10:00:00",8067.16,21.96,TRADE
NSW1,"2010/01/01 10:30:00",8123.31,22.08,TRADE
NSW1,"2010/01/01 11:00:00",8195.51,22,TRADE
NSW1,"2010/01/01 11:30:00",8221.36,22,TRADE
NSW1,"2010/01/01 12:00:00",8278.09,22.04,TRADE
NSW1,"2010/01/01 12:30:00",8361.58,22,TRADE
NSW1,"2010/01/01 13:00:00",8337.92,22,TRADE
NSW1,"2010/01/01 13:30:00",8421.08,22.36,TRADE
NSW1,"2010/01/01 14:00:00",8477.34,22,TRADE
NSW1,"2010/01/01 14:30:00",8501.39,22,TRADE
NSW1,"2010/01/01 15:00:00",8557.94,22,TRADE
NSW1,"2010/01/01 15:30:00",8603.11,22,TRADE
NSW1,"2010/01/01 16:00:00",8715.69,22.01,TRADE
NSW1,"2010/01/01 16:30:00",8791.61,22,TRADE
NSW1,"2010/01/01 17:00:00",8883.98,22.82,TRADE
NSW1,"2010/01/01 17:30:00",8835.92,23.87,TRADE
NSW1,"2010/01/01 18:00:00",8765.46,23.68,TRADE
NSW1,"2010/01/01 18:30:00",8640.56,22.5,TRADE
NSW1,"2010/01/01 19:00:00",8544.55,22,TRADE
NSW1,"2010/01/01 19:30:00",8562.12,22.01,TRADE
NSW1,"2010/01/01 20:00:00",8635.78,22.02,TRADE
NSW1,"2010/01/01 20:30:00",8573.05,22.01,TRADE
NSW1,"2010/01/01 21:00:00",8333.54,21.98,TRADE
NSW1,"2010/01/01 21:30:00",8343.8,22.4,TRADE
NSW1,"2010/01/01 22:00:00",8295.59,21.5,TRADE
NSW1,"2010/01/01 22:30:00",8210.54,21.7,TRADE
NSW1,"2010/01/01 23:00:00",8041.77,22.27,TRADE
NSW1,"2010/01/01 23:30:00",7782.68,21.5,TRADE
NSW1,"2010/01/02 00:00:00",7574.85,21,TRADE
NSW1,"2010/01/02 00:30:00",7343.3,20.67,TRADE
NSW1,"2010/01/02 01:00:00",7099.73,19.27,TRADE
NSW1,"2010/01/02 01:30:00",6779.8,17.92,TRADE
NSW1,"2010/01/02 02:00:00",6497.47,15.63,TRADE
NSW1,"2010/01/02 02:30:00",6347.69,14.32,TRADE
NSW1,"2010/01/02 03:00:00",6223.64,14.08,TRADE
NSW1,"2010/01/02 03:30:00",6182.07,15.26,TRADE
NSW1,"2010/01/02 04:00:00",6140.82,15.56,TRADE
NSW1,"2010/01/02 04:30:00",6224.48,12.98,TRADE
NSW1,"2010/01/02 05:00:00",6260,14.87,TRADE
NSW1,"2010/01/02 05:30:00",6336.2,16.33,TRADE
NSW1,"2010/01/02 06:00:00",6470.82,16.86,TRADE
NSW1,"2010/01/02 06:30:00",6679.67,17.47,TRADE
NSW1,"2010/01/02 07:00:00",7032.62,17.07,TRADE
NSW1,"2010/01/02 07:30:00",7394.7,20.33,TRADE
NSW1,"2010/01/02 08:00:00",7788.18,21.47,TRADE
NSW1,"2010/01/02 08:30:00",8219.48,22.01,TRADE
NSW1,"2010/01/02 09:00:00",8344.2,22.01,TRADE
NSW1,"2010/01/02 09:30:00",8572.63,22.59,TRADE
NSW1,"2010/01/02 10:00:00",8698.38,22.11,TRADE
NSW1,"2010/01/02 10:30:00",8924.21,22.1,TRADE
NSW1,"2010/01/02 11:00:00",9018.29,22.07,TRADE
NSW1,"2010/01/02 11:30:00",9090.32,22.01,TRADE
NSW1,"2010/01/02 12:00:00",9028.7,22.13,TRADE
NSW1,"2010/01/02 12:30:00",8940.66,22,TRADE
NSW1,"2010/01/02 13:00:00",8792.66,22,TRADE
NSW1,"2010/01/02 13:30:00",8823.5,22.01,TRADE
NSW1,"2010/01/02 14:00:00",8908.07,21.83,TRADE
NSW1,"2010/01/02 14:30:00",8929.36,22.01,TRADE
NSW1,"2010/01/02 15:00:00",9017.31,22,TRADE
NSW1,"2010/01/02 15:30:00",9147.54,22.81,TRADE
NSW1,"2010/01/02 16:00:00",9282.8,24.39,TRADE
NSW1,"2010/01/02 16:30:00",9294.07,24.82,TRADE
NSW1,"2010/01/02 17:00:00",9263.27,24.41,TRADE
NSW1,"2010/01/02 17:30:00",9136.62,22.3,TRADE
NSW1,"2010/01/02 18:00:00",9039.32,22.01,TRADE
NSW1,"2010/01/02 18:30:00",8929.77,21.9,TRADE
NSW1,"2010/01/02 19:00:00",8711.58,21.98,TRADE
NSW1,"2010/01/02 19:30:00",8632.31,22,TRADE
NSW1,"2010/01/02 20:00:00",8714.63,22.83,TRADE
