Small Unit Installation Postcode,Previous Years (2001-2021) - Installation Quantity,Previous Years (2001-2021) - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output In kW,Jun 2022 - Installations Quantity,Jun 2022 - SGU Rated Output In kW,Jul 2022 - Installations Quantity,Jul 2022 - SGU Rated Output In kW,Aug 2022 - Installations Quantity,Aug 2022 - SGU Rated Output In kW,Sep 2022 - Installations Quantity,Sep 2022 - SGU Rated Output In kW,Oct 2022 - Installations Quantity,Oct 2022 - SGU Rated Output In kW,Nov 2022 - Installations Quantity,Nov 2022 - SGU Rated Output In kW,Dec 2022 - Installations Quantity,Dec 2022 - SGU Rated Output In kW,Jan 2023 - Installations Quantity,Jan 2023 - SGU Rated Output In kW,Feb 2023 - Installations Quantity,Feb 2023 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0,4,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.46
200,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
800,118,3007.51,0,0,0,0,0,0,0,0,0,0,0,0,1,9.25,1,39.78,0,0,1,18.8,1,28.08,3,258.26,0,0,0,0,125,3361.68
801,10,277.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,277.098
803,2,11.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.685
804,15,78.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,78.31
810,3477,22870.496,7,152.64,18,138.16,21,157.47,23,253.555,22,159.82,22,192.905,15,226.16,25,266.165,24,183.235,32,256.045,39,308.165,28,264.76,11,86.01,19,153.755,3783,25669.341
811,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
812,1924,12050.485,9,152.27,13,90.02,14,108.94,8,62.35,7,46.82,11,85.195,12,98.47,9,82.73,15,114.18,21,171.455,19,143.545,16,208.615,8,55.28,6,48.76,2092,13519.115
813,7,85.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,85.549
814,4,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18.24
820,1193,12453.829,2,15.6,5,37.37,15,297.58,10,71.645,9,116.515,7,62.84,8,68.845,12,221.07,12,123.12,11,92.65,9,97.56,5,97.955,10,173.8,5,65.92,1313,13996.299
821,7,156.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,156.303
822,974,10533.294,2,13.26,10,81.92,11,206.5,6,93.86,11,102.32,12,290.64,21,406.78,8,83.895,16,136.155,6,55.18,7,77.3,11,116.59,1,14.43,2,13.27,1098,12225.394
828,282,3982.211,2,46.56,4,28.43,2,13.29,1,9.25,9,139.61,2,13.1,2,14.495,6,77.02,1,6.6,4,59.42,6,38.14,6,78.485,3,32.005,1,12.45,331,4551.066
829,37,899.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,195.39,0,0,0,0,0,0,0,0,0,0,2,29.53,41,1124.9
830,2090,13519.379,8,74.18,13,146.68,19,132.14,13,90.21,18,140.565,15,117.565,13,110.78,9,68.79,14,122.845,17,311.2,18,149.13,14,96.66,11,82.3,8,88.59,2280,15251.014
831,9,38.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38.98
832,2508,15355.639,12,82.87,15,102.25,32,218.685,19,140.03,19,155.535,29,204.34,25,197.615,15,117.925,18,134.83,34,242.645,34,254.66,19,125.16,12,93,12,93.16,2803,17518.344
834,254,1913.852,1,9.25,2,28.305,1,13.26,0,0,2,17.76,2,17.17,1,4.44,3,22.88,4,55.88,3,18.1,2,41.11,2,31.82,3,25.25,1,9.25,281,2208.327
835,524,3603.943,0,0,6,54.54,3,35.88,2,23.46,2,28.3,1,8.36,2,19.98,2,14.8,3,132.43,4,41.54,2,30.42,2,11.64,1,6.63,1,9.36,555,4021.283
836,1237,8683.711,1,10.78,9,76.73,20,183.725,13,130.97,11,121.52,10,109.935,9,93.85,10,99.53,7,74.28,11,94.54,11,103.74,4,43.84,2,17.16,4,38.18,1359,9882.491
837,64,620.391,0,0,0,0,0,0,0,0,1,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,629.521
838,128,1033.292,0,0,0,0,2,14.43,2,16.31,3,31.14,0,0,1,13.32,1,6.24,3,36.26,0,0,1,6.63,0,0,0,0,0,0,141,1157.622
839,25,575.03,0,0,0,0,1,99.9,2,17.76,1,6.66,0,0,0,0,0,0,1,6.6,1,16.28,0,0,3,44.77,0,0,0,0,34,767
840,121,764.785,2,15.91,1,6.585,0,0,0,0,0,0,1,6.66,1,8.97,0,0,0,0,0,0,1,6.63,1,20.335,0,0,0,0,128,829.875
841,78,848.75,1,6.66,0,0,1,8.97,3,29.54,0,0,1,13.32,0,0,1,9.99,1,9.25,0,0,0,0,0,0,0,0,1,18.72,87,945.2
845,75,620.076,1,9.24,0,0,0,0,0,0,4,30.51,0,0,1,8.97,1,5.67,0,0,1,16.28,0,0,0,0,0,0,0,0,83,690.746
846,48,320.19,0,0,0,0,0,0,0,0,1,6.66,0,0,0,0,1,4.68,0,0,0,0,0,0,1,11.88,0,0,0,0,51,343.41
847,24,283.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,283.005
850,855,6908.264,2,95.38,6,39.87,5,131.07,7,64.22,2,15.91,8,72.96,3,25.16,4,34.92,9,58.46,2,27.51,4,33.3,1,9.25,1,19.61,1,6.66,910,7542.544
851,46,325.375,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,364.375
852,221,2508.74,0,0,1,10.36,9,196.74,3,124.2,8,269.22,7,44.29,3,17.76,7,74.92,1,5.92,16,102.12,23,103.6,0,0,0,0,0,0,299,3457.87
853,2,52.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52.97
854,17,234.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,234.025
860,145,1023.479,0,0,1,4.44,0,0,0,0,0,0,1,5.92,1,16.38,1,6.66,3,16.32,1,13.26,0,0,0,0,0,0,0,0,153,1086.459
861,24,136.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,136.115
862,34,377.315,0,0,0,0,0,0,0,0,0,0,0,0,5,29.6,31,183.52,0,0,0,0,0,0,0,0,0,0,0,0,70,590.435
870,2732,17620.776,2,17.73,7,52.1,15,103.21,11,81.1,5,108.74,16,351.41,6,42.45,9,93.05,11,95.7,10,90.08,10,70.245,10,106.695,5,57.605,1,6.64,2850,18897.531
871,58,411.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,411.82
872,235,2744.472,0,0,2,36.97,5,101.86,3,76.98,5,150.47,2,54.12,3,77.74,3,33.62,3,133.34,3,40.585,3,89.8,1,8.88,0,0,0,0,268,3548.837
873,147,1116.919,0,0,0,0,2,19.8,1,6.66,1,6.66,2,13.32,1,14.82,0,0,1,2.34,0,0,1,6.63,0,0,0,0,0,0,156,1187.149
874,19,147.51,0,0,1,6.66,1,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.64,0,0,0,0,22,167.47
875,150,1017.116,1,12.64,0,0,2,13.32,3,28.18,0,0,1,6.66,1,19.885,1,6.66,2,8.735,0,0,2,11.835,2,14.92,0,0,0,0,165,1139.951
880,23,239.201,0,0,0,0,0,0,0,0,0,0,0,0,2,164.64,0,0,0,0,0,0,3,150.53,1,37.37,0,0,0,0,29,591.741
881,12,107.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.6,1,7.8,1,2.34,0,0,0,0,0,0,0,0,16,133.47
885,30,771.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,771.64
886,11,171.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,171.69
1340,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1355,1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.81,0,0,0,0,2,6.83
1435,1,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.54
1460,1,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75
1470,2,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.81
1475,3,11.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.985
1480,2,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.88
1485,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1490,1,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.79,2,9.3
1495,2,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.23
1560,1,5.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.025
1570,2,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.15
1595,3,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.7
1630,7,33.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33.785
1640,2,15.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.075
1655,3,17.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17.845
1658,1,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.04
1660,2,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.92,0,0,1,7.885,4,31.905
1670,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.6,2,21.04
1680,2,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.79,3,20.17
1685,1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.075,0,0,2,10.875
