,DATE,HUMIDITYAVE,HUMIDITYMIN,HUMIDITYMAX
0,1 January 2010,0.6758695652173912,0.46,0.89
0,2 January 2010,0.6758695652173912,0.46,0.89
0,3 January 2010,0.7359183673469385,0.46,1.0
0,4 January 2010,0.8327659574468087,0.69,1.0
0,5 January 2010,0.7060416666666666,0.51,0.94
0,6 January 2010,0.664489795918367,0.51,0.83
0,7 January 2010,0.8271111111111111,0.74,0.94
0,8 January 2010,0.7066666666666664,0.54,0.88
0,9 January 2010,0.6665957446808507,0.51,0.78
0,10 January 2010,0.5639583333333332,0.34,0.83
0,11 January 2010,0.7506382978723402,0.4,0.89
0,12 January 2010,0.6944897959183669,0.54,0.88
0,13 January 2010,0.6980851063829788,0.55,0.83
0,14 January 2010,0.847872340425532,0.69,1.0
0,15 January 2010,0.8714893617021271,0.78,0.94
0,16 January 2010,0.8091489361702127,0.65,0.94
0,17 January 2010,0.6668749999999997,0.51,0.83
0,18 January 2010,0.7779166666666661,0.57,0.88
0,19 January 2010,0.4960869565217391,0.11,0.88
0,20 January 2010,0.3997826086956522,0.18,0.6
0,21 January 2010,0.4419565217391304,0.21,0.78
0,22 January 2010,0.7154166666666667,0.45,0.94
0,23 January 2010,0.6585416666666666,0.32,1.0
0,24 January 2010,0.47468085106382985,0.11,0.88
0,25 January 2010,0.7962222222222218,0.65,1.0
0,26 January 2010,0.7922222222222218,0.65,0.89
0,27 January 2010,0.8076595744680847,0.59,1.0
0,28 January 2010,0.8413043478260862,0.65,0.94
0,29 January 2010,0.8237777777777776,0.7,0.94
0,30 January 2010,0.821489361702127,0.74,0.94
0,31 January 2010,0.8344680851063824,0.74,0.94
0,1 February 2010,0.6937499999999998,0.55,0.88
0,2 February 2010,0.6937499999999998,0.55,0.88
0,3 February 2010,0.6718367346938773,0.45,0.94
0,4 February 2010,0.8058695652173908,0.58,1.0
0,5 February 2010,0.8522916666666661,0.66,0.94
0,6 February 2010,0.858444444444444,0.66,0.94
0,7 February 2010,0.9828571428571428,0.94,1.0
0,8 February 2010,0.9310638297872337,0.83,1.0
0,9 February 2010,0.815208333333333,0.58,0.94
0,10 February 2010,0.7665909090909087,0.51,1.0
0,17 February 2010,0.8057894736842105,0.62,0.89
0,18 February 2010,0.6702272727272723,0.61,0.78
0,19 February 2010,0.5724999999999999,0.47,0.69
0,20 February 2010,0.6190909090909091,0.47,0.78
0,21 February 2010,0.6502083333333335,0.43,0.83
0,22 February 2010,0.6106249999999999,0.3,0.88
0,23 February 2010,0.5221739130434783,0.24,0.78
0,24 February 2010,0.5672727272727274,0.38,0.79
0,25 February 2010,0.5608333333333336,0.5,0.64
0,26 February 2010,0.5410416666666668,0.44,0.68
0,27 February 2010,0.6678260869565215,0.54,0.83
0,28 February 2010,0.665217391304348,0.43,0.88
0,1 March 2010,0.7869999999999997,0.64,1.0
0,2 March 2010,0.7869999999999997,0.64,1.0
0,3 March 2010,0.5282978723404255,0.4,0.64
0,4 March 2010,0.6048888888888893,0.5,0.73
0,5 March 2010,0.7357446808510638,0.58,0.88
0,6 March 2010,0.7933333333333331,0.61,1.0
0,7 March 2010,0.8312499999999995,0.66,1.0
0,8 March 2010,0.7410416666666664,0.58,0.89
0,9 March 2010,0.6646666666666665,0.34,0.89
0,10 March 2010,0.42852941176470594,0.31,0.56
0,11 March 2010,0.6873809523809529,0.5,0.88
0,12 March 2010,0.6222222222222225,0.5,0.78
0,13 March 2010,0.5291111111111113,0.44,0.64
0,14 March 2010,0.6777083333333335,0.47,0.94
0,15 March 2010,0.6533333333333335,0.47,0.94
0,16 March 2010,0.6652083333333334,0.51,0.78
0,17 March 2010,0.6604347826086958,0.37,0.88
0,18 March 2010,0.6419148936170214,0.37,0.88
0,19 March 2010,0.6465957446808512,0.37,0.88
0,20 March 2010,0.6549999999999999,0.38,0.88
0,21 March 2010,0.6227659574468086,0.34,0.83
0,22 March 2010,0.5160416666666666,0.19,0.83
0,23 March 2010,0.653695652173913,0.54,0.73
0,24 March 2010,0.68,0.35,0.88
0,25 March 2010,0.7229787234042554,0.57,0.88
0,26 March 2010,0.6702127659574464,0.48,0.83
0,27 March 2010,0.6299999999999999,0.28,0.88
0,28 March 2010,0.8529787234042551,0.69,0.94
0,29 March 2010,0.7255102040816325,0.55,0.88
0,30 March 2010,0.703191489361702,0.45,0.88
0,31 March 2010,0.9106382978723404,0.88,0.94
0,1 April 2010,0.690888888888889,0.57,0.78
0,2 April 2010,0.690888888888889,0.57,0.78
0,3 April 2010,0.6513333333333337,0.5,0.78
0,4 April 2010,0.7827083333333333,0.57,1.0
0,5 April 2010,0.8144000000000005,0.64,1.0
0,6 April 2010,0.773809523809524,0.53,1.0
0,7 April 2010,0.7702083333333335,0.57,0.94
0,8 April 2010,0.7697916666666663,0.61,0.94
0,9 April 2010,0.7547826086956525,0.39,1.0
0,10 April 2010,0.7595833333333335,0.53,0.94
0,11 April 2010,0.626808510638298,0.35,0.88
0,12 April 2010,0.5162222222222224,0.27,0.78
0,13 April 2010,0.36770833333333347,0.2,0.48
0,14 April 2010,0.5922916666666667,0.48,0.72
0,15 April 2010,0.5915217391304349,0.3,0.88
0,16 April 2010,0.7745454545454545,0.65,0.88
0,17 April 2010,0.7629166666666668,0.64,0.94
0,18 April 2010,0.8472340425531917,0.65,1.0
0,19 April 2010,0.8186956521739133,0.65,0.94
